DATE,TFAABSHNO_DSPI
1960-01-01,4.0697666068222621
1960-04-01,4.0712757274662881
1960-07-01,4.0279135421261579
1960-10-01,4.1589974518935067
1961-01-01,4.2502511078286558
1961-04-01,4.2300154070016263
1961-07-01,4.2335148556518812
1961-10-01,4.2794276288659794
1962-01-01,4.2302146690518784
1962-04-01,3.9422164328657315
1962-07-01,4.0023878816793893
1962-10-01,4.1971287128712871
1963-01-01,4.2130179445350734
1963-04-01,4.2544850906855211
1963-07-01,4.2702564684521108
1963-10-01,4.1766861974338055
1964-01-01,4.1766290182450043
1964-04-01,4.1373935983116426
1964-07-01,4.1627299785422579
1964-10-01,4.1810983013848148
1965-01-01,4.1915267791143068
1965-04-01,4.1202929119280614
1965-07-01,4.1415965632213388
1965-10-01,4.1816417068738643
1966-01-01,4.1180850932824333
1966-04-01,4.0855844551379667
1966-07-01,3.9467773530817009
1966-10-01,3.9927887769447048
1967-01-01,4.0913768699654776
1967-04-01,4.0966746207601841
1967-07-01,4.1445187374525987
1967-10-01,4.1826896476012735
1968-01-01,4.0442769378706127
1968-04-01,4.1341888657648283
1968-07-01,4.1521727748691099
1968-10-01,4.2782025188916877
1969-01-01,4.2021156621709053
1969-04-01,4.0982636624653268
1969-07-01,3.9804452296819788
1969-10-01,3.9040408616067301
1970-01-01,3.8334329640515487
1970-04-01,3.6190854870775348
1970-07-01,3.6938900133499849
1970-10-01,3.7886461263104065
1971-01-01,3.8401452814569536
1971-04-01,3.8073583155177282
1971-07-01,3.8025906056270863
1971-10-01,3.8653257856724575
1972-01-01,3.9375256701149867
1972-04-01,3.9371375591296121
1972-07-01,3.9297328525169267
1972-10-01,3.9589893318360472
1973-01-01,3.8733601734283060
1973-04-01,3.7665165718111818
1973-07-01,3.8080204889863516
1973-10-01,3.6234453221661749
1974-01-01,3.6087328091225212
1974-04-01,3.5293382330329961
1974-07-01,3.3785149729260777
1974-10-01,3.3780196341962251
1975-01-01,3.4705474966248241
1975-04-01,3.4180299454796973
1975-07-01,3.4078197195276825
1975-10-01,3.4315396176664469
1976-01-01,3.4773662646876933
1976-04-01,3.5190225621220590
1976-07-01,3.5067807385700450
1976-10-01,3.5216271499368380
1977-01-01,3.4788157424823218
1977-04-01,3.4613659237958303
1977-07-01,3.4190008112493240
1977-10-01,3.3658795185976540
1978-01-01,3.3505050763041951
1978-04-01,3.3536624427291864
1978-07-01,3.3777981042081748
1978-10-01,3.3550939916015855
1979-01-01,3.3587344204897913
1979-04-01,3.3913849949534597
1979-07-01,3.4062682231622520
1979-10-01,3.4309813323896311
1980-01-01,3.3556207416030404
1980-04-01,3.4328452214373620
1980-07-01,3.4560147583443288
1980-10-01,3.4609340650725206
1981-01-01,3.4437786960514233
1981-04-01,3.4372091589740506
1981-07-01,3.3129137346885588
1981-10-01,3.3740382615632256
1982-01-01,3.3357462215299120
1982-04-01,3.3300945064662319
1982-07-01,3.3492601868146744
1982-10-01,3.4273598430241871
1983-01-01,3.4686885697422782
1983-04-01,3.5226712788476431
1983-07-01,3.4797277622281074
1983-10-01,3.4118969849246231
1984-01-01,3.3327411780014905
1984-04-01,3.2861006303804179
1984-07-01,3.2943774125826768
1984-10-01,3.3123769360868791
1985-01-01,3.3814605155798620
1985-04-01,3.3596456350781577
1985-07-01,3.3736397710526878
1985-10-01,3.4425175500267579
1986-01-01,3.4923709622682257
1986-04-01,3.5301074405366945
1986-07-01,3.5108111040781264
1986-10-01,3.6270003888994147
1987-01-01,3.6921613790538093
1987-04-01,3.7493176413016883
1987-07-01,3.7366027546005258
1987-10-01,3.6155121037625091
1988-01-01,3.6351922919229192
1988-04-01,3.6344343055927214
1988-07-01,3.6143487594795312
1988-10-01,3.6497872340425532
1989-01-01,3.6451818356744276
1989-04-01,3.6906996671799712
1989-07-01,3.7386421983844066
1989-10-01,3.7605919544390550
1990-01-01,3.6925923157422634
1990-04-01,3.6913072062444826
1990-07-01,3.6046650042452938
1990-10-01,3.7001675905339140
1991-01-01,3.7942434889045039
1991-04-01,3.7600808683651013
1991-07-01,3.7831958230323604
1991-10-01,3.8575160587123965
1992-01-01,3.7597697976172779
1992-04-01,3.7162391377005348
1992-07-01,3.7427368268813576
1992-10-01,3.8187055595648207
1993-01-01,3.8455094734003102
1993-04-01,3.8503335136109609
1993-07-01,3.9023762711639245
1993-10-01,3.9313834106157892
1994-01-01,3.9093604409587867
1994-04-01,3.8748298145697904
1994-07-01,3.8860326584179344
1994-10-01,3.8567361734532779
1995-01-01,3.8984800151497566
1995-04-01,3.9646750486019005
1995-07-01,4.0263707706008571
1995-10-01,4.1096736043732399
1996-01-01,4.1418112673101133
1996-04-01,4.1484075314959726
1996-07-01,4.1445327507947572
1996-10-01,4.2098385381092611
1997-01-01,4.1893555546966878
1997-04-01,4.3510281634012261
1997-07-01,4.4469021391093771
1997-10-01,4.4495876926330258
1998-01-01,4.5958646558151093
1998-04-01,4.5988449225122349
1998-07-01,4.4229952351961519
1998-10-01,4.6626940541509415
1999-01-01,4.6370593098967946
1999-04-01,4.7326830340354664
1999-07-01,4.6410373179699488
1999-10-01,4.8925522563692988
2000-01-01,4.8861758808759554
2000-04-01,4.7360257460980127
2000-07-01,4.7109615299068497
2000-10-01,4.5593054471878017
2001-01-01,4.3817812914927407
2001-04-01,4.4972078082209560
2001-07-01,4.2413106523255077
2001-10-01,4.4582148036292548
2002-01-01,4.3949945506704137
2002-04-01,4.2334971082799926
2002-07-01,4.0590454226781300
2002-10-01,4.1385410767171082
2003-01-01,4.0984325916756427
