DATE,POLLOLITONOSTSAM
1991-06-01,99.1851072379759
1991-07-01,99.3137816544184
1991-08-01,99.3752641002397
1991-09-01,99.3771842434669
1991-10-01,99.3395013800242
1991-11-01,99.2795543205176
1991-12-01,99.2032742934696
1992-01-01,99.0893315934464
1992-02-01,98.9324047610192
1992-03-01,98.7473121583698
1992-04-01,98.5487964747066
1992-05-01,98.3557855906674
1992-06-01,98.1828912545153
1992-07-01,98.2028054003234
1992-08-01,98.3371344132495
1992-09-01,98.5669841736536
1992-10-01,98.8153093059794
1992-11-01,99.0106454977523
1992-12-01,99.1223173939495
1993-01-01,99.132191913884
1993-02-01,99.0881730021381
1993-03-01,98.9551297124284
1993-04-01,98.7820989000306
1993-05-01,98.6210190342761
1993-06-01,98.5259499580504
1993-07-01,98.5585250093343
1993-08-01,98.7645407205454
1993-09-01,99.0748878011206
1993-10-01,99.4042351380477
1993-11-01,99.7064398422144
1993-12-01,99.9488587487252
1994-01-01,100.116121443393
1994-02-01,100.2575778652
1994-03-01,100.409914092101
1994-04-01,100.5691859439
1994-05-01,100.749621191161
1994-06-01,100.938456242945
1994-07-01,101.10414884602
1994-08-01,101.220328042877
1994-09-01,101.282251155451
1994-10-01,101.29498605859
1994-11-01,101.286694145402
1994-12-01,101.254441263356
1995-01-01,101.175348969603
1995-02-01,101.089054388781
1995-03-01,101.036302245996
1995-04-01,101.018301498688
1995-05-01,101.046369742556
1995-06-01,101.109323921658
1995-07-01,101.159487958741
1995-08-01,101.161322367802
1995-09-01,101.091731546502
1995-10-01,100.999712632388
1995-11-01,100.912800364031
1995-12-01,100.861805650263
1996-01-01,100.874085379423
1996-02-01,100.922097113846
1996-03-01,101.006132705882
1996-04-01,101.113291619811
1996-05-01,101.203281728349
1996-06-01,101.267228040946
1996-07-01,101.305302209689
1996-08-01,101.275472622175
1996-09-01,101.18270659955
1996-10-01,101.067880861365
1996-11-01,100.974401726684
1996-12-01,100.959757155306
1997-01-01,101.056392920059
1997-02-01,101.252182262526
1997-03-01,101.520801300097
1997-04-01,101.796249788322
1997-05-01,102.009318820989
1997-06-01,102.144834494064
1997-07-01,102.15849025238
1997-08-01,102.069544052691
1997-09-01,101.866145685928
1997-10-01,101.519326928432
1997-11-01,101.035711948462
1997-12-01,100.470715972678
1998-01-01,99.9010054665289
1998-02-01,99.4153923832912
1998-03-01,99.074732609865
1998-04-01,98.9313495848985
1998-05-01,98.9866743499595
1998-06-01,99.1821706076235
1998-07-01,99.4434209307383
1998-08-01,99.6825310105182
1998-09-01,99.8588462349738
1998-10-01,99.9746338577924
1998-11-01,100.071976774796
1998-12-01,100.186474073162
1999-01-01,100.336001465502
1999-02-01,100.508571224735
1999-03-01,100.616722105011
1999-04-01,100.612330841874
1999-05-01,100.524029422172
1999-06-01,100.394771209817
1999-07-01,100.284181868538
1999-08-01,100.217241438691
1999-09-01,100.182432619072
1999-10-01,100.152202722704
1999-11-01,100.108360944014
1999-12-01,100.015515212899
2000-01-01,99.8716805497052
2000-02-01,99.7198507442888
2000-03-01,99.5698000445528
2000-04-01,99.4383034793709
2000-05-01,99.2911341319861
2000-06-01,99.097151949735
2000-07-01,98.8698085880002
2000-08-01,98.6377362556166
2000-09-01,98.4277489722821
2000-10-01,98.2482104181805
2000-11-01,98.058466898783
2000-12-01,97.8220891188611
2001-01-01,97.5560703767716
2001-02-01,97.2770873200134
2001-03-01,97.0325336583795
2001-04-01,96.8603501047508
2001-05-01,96.7701528942998
2001-06-01,96.7679114716475
2001-07-01,96.8543222760497
2001-08-01,96.9708716950524
2001-09-01,97.0753454750578
2001-10-01,97.1692987284345
2001-11-01,97.2619915817112
2001-12-01,97.3847211588749
2002-01-01,97.5552260007866
2002-02-01,97.7415119228413
2002-03-01,97.94751603731
2002-04-01,98.2163407023812
2002-05-01,98.5705603114308
2002-06-01,98.9973035019306
2002-07-01,99.4292962541452
2002-08-01,99.8182192159104
2002-09-01,100.14166015788
2002-10-01,100.405218035827
2002-11-01,100.600260439754
2002-12-01,100.745961070934
2003-01-01,100.880602055409
2003-02-01,100.993631535348
2003-03-01,101.085492677011
2003-04-01,101.180914815261
2003-05-01,101.283384424479
2003-06-01,101.426596499971
2003-07-01,101.620119197981
2003-08-01,101.813134151909
2003-09-01,102.001794200319
2003-10-01,102.177077450407
2003-11-01,102.318312928015
2003-12-01,102.42687024959
2004-01-01,102.500982184469
2004-02-01,102.536336773241
2004-03-01,102.511216621805
2004-04-01,102.387047473412
2004-05-01,102.122088051723
2004-06-01,101.767189634249
2004-07-01,101.397666849441
2004-08-01,101.043485411539
2004-09-01,100.731442385166
2004-10-01,100.472588947558
2004-11-01,100.258350637422
2004-12-01,100.065083288329
2005-01-01,99.8726354061257
2005-02-01,99.7087335110997
2005-03-01,99.6167364668536
2005-04-01,99.638648482312
2005-05-01,99.7652830793518
2005-06-01,99.9494308225204
2005-07-01,100.128435027669
2005-08-01,100.287348185098
2005-09-01,100.432548775297
2005-10-01,100.565007970048
2005-11-01,100.690343338792
2005-12-01,100.795240689309
2006-01-01,100.861115773986
2006-02-01,100.939059509453
2006-03-01,101.073807276091
2006-04-01,101.270693364622
2006-05-01,101.504982887532
2006-06-01,101.726833275917
2006-07-01,101.888882112853
2006-08-01,101.990557997556
2006-09-01,102.068048544235
2006-10-01,102.13478859992
2006-11-01,102.210678117846
2006-12-01,102.284992474916
2007-01-01,102.329243658429
2007-02-01,102.31138781273
2007-03-01,102.205305249322
2007-04-01,102.006429582396
2007-05-01,101.764047112202
2007-06-01,101.51037858419
